# stabmouse-recording v1
# device	Mad Catz Global Mad Catz R.A.T. 8+ADV
# dpi	1600
# t_us	dx	dy	down
1785376916775060	-1	1	0
1785376916776061	-1	0	0
1785376916778062	-1	1	0
1785376916779061	-1	0	0
1785376916780061	0	1	0
1785376916781061	-1	0	0
1785376916782062	-1	0	0
1785376916783060	0	1	0
1785376916784061	-1	0	0
1785376916785060	0	1	0
1785376916786061	-1	0	0
1785376916787062	-1	0	0
1785376916788061	-1	1	0
1785376916790061	-1	1	0
1785376916792061	-1	1	0
1785376916793062	-1	0	0
1785376916795062	-1	1	0
1785376916796060	-1	0	0
1785376916797060	0	1	0
1785376916798062	-1	0	0
1785376916799061	-1	1	0
1785376916800060	-1	0	0
1785376916801062	0	1	0
1785376916802061	-1	0	0
1785376916803062	-1	1	0
1785376916804063	-1	0	0
1785376916805061	0	1	0
1785376916806062	-1	0	0
1785376916807061	-2	1	0
1785376916808060	-1	0	0
1785376916809063	-1	1	0
1785376916810061	-1	1	0
1785376916812062	-1	1	0
1785376916813061	-1	1	0
1785376916814063	-1	0	0
1785376916815061	-1	1	0
1785376916816061	-1	0	0
1785376916817062	0	1	0
1785376916818061	-1	1	0
1785376916819060	-1	0	0
1785376916820063	-1	2	0
1785376916821062	-1	1	0
1785376916822062	-1	1	0
1785376916823062	-1	0	0
1785376916824061	-1	1	0
1785376916825061	-1	1	0
1785376916826062	-1	0	0
1785376916827061	-1	1	0
1785376916828063	-1	1	0
1785376916830062	-1	1	0
1785376916831062	-1	1	0
1785376916832062	-1	1	0
1785376916833062	-1	0	0
1785376916834062	-1	1	0
1785376916835061	-1	1	0
1785376916836061	-1	0	0
1785376916837063	-1	1	0
1785376916838061	0	1	0
1785376916839061	-1	0	0
1785376916840062	-2	1	0
1785376916841062	-1	1	0
1785376916842061	-1	0	0
1785376916843061	0	1	0
1785376916844061	-1	1	0
1785376916845063	-1	0	0
1785376916846061	-1	1	0
1785376916847061	-1	1	0
1785376916849061	-1	1	0
1785376916850062	-1	0	0
1785376916851061	0	1	0
1785376916852062	-1	1	0
1785376916853064	-1	0	0
1785376916854062	-1	1	0
1785376916855062	0	1	0
1785376916856063	-1	0	0
1785376916857061	-1	1	0
1785376916858061	0	1	0
1785376916859062	-1	0	0
1785376916860063	0	1	0
1785376916861062	-1	1	0
1785376916862063	-1	0	0
1785376916863060	0	1	0
1785376916864062	-1	2	0
1785376916866062	-1	1	0
1785376916867063	0	1	0
1785376916868062	-1	1	0
1785376916870063	-1	1	0
1785376916871062	0	1	0
1785376916872062	-1	1	0
1785376916874062	-1	1	0
1785376916875062	0	1	0
1785376916876062	-1	1	0
1785376916877063	0	1	0
1785376916878063	-1	1	0
1785376916880062	0	1	0
1785376916881062	-1	1	0
1785376916882063	0	1	0
1785376916883061	0	1	0
1785376916884063	-1	0	0
1785376916885063	0	1	0
1785376916886063	0	1	0
1785376916887063	-1	1	0
1785376916888061	0	1	0
1785376916889061	0	1	0
1785376916890062	-1	0	0
1785376916891063	0	1	0
1785376916892062	0	1	0
1785376916893063	0	1	0
1785376916894062	0	1	0
1785376916895062	-1	1	0
1785376916896061	0	1	0
1785376916898063	0	1	0
1785376916899062	0	1	0
1785376916900061	0	2	0
1785376916901062	0	1	0
1785376916903062	0	1	0
1785376916904062	0	1	0
1785376916905062	-2	1	0
1785376916906063	0	1	0
1785376916908062	0	1	0
1785376916909064	0	1	0
1785376916911062	0	1	0
1785376916912063	0	1	0
1785376916913063	0	1	0
1785376916915062	0	1	0
1785376916916063	1	1	0
1785376916917062	0	1	0
1785376916919062	0	1	0
1785376916920063	1	0	0
1785376916921062	0	1	0
1785376916922063	0	1	0
1785376916923063	1	0	0
1785376916924062	0	1	0
1785376916925063	0	1	0
1785376916926062	1	0	0
1785376916927062	0	1	0
1785376916928063	1	0	0
1785376916929061	0	1	0
1785376916931063	1	1	0
1785376916932062	0	1	0
1785376916933062	1	0	0
1785376916934063	0	1	0
1785376916935063	1	0	0
1785376916936061	0	1	0
1785376916937063	1	0	0
1785376916938063	0	1	0
1785376916939062	1	0	0
1785376916940062	0	1	0
1785376916941062	1	0	0
1785376916942063	0	1	0
1785376916943063	1	0	0
1785376916944062	1	0	0
1785376916945063	0	1	0
1785376916946062	1	0	0
1785376916947063	0	2	0
1785376916948063	1	0	0
1785376916949063	1	1	0
1785376916951063	1	0	0
1785376916952063	1	1	0
1785376916954063	1	1	0
1785376916956063	1	0	0
1785376916957062	1	1	0
1785376916958063	1	0	0
1785376916959063	0	1	0
1785376916960063	1	0	0
1785376916961061	1	0	0
1785376916962063	1	1	0
1785376916964062	1	0	0
1785376916965063	1	1	0
1785376916967063	1	0	0
1785376916968062	1	1	0
1785376916969062	1	0	0
1785376916971063	2	1	0
1785376916972063	1	0	0
1785376916973063	1	0	0
1785376916974062	0	1	0
1785376916975062	1	0	0
1785376916976063	1	0	0
1785376916977062	1	0	0
1785376916978063	0	1	0
1785376916979062	1	0	0
1785376916980063	1	1	0
1785376916981064	1	0	0
1785376916982063	1	0	0
1785376916984062	1	1	0
1785376916985062	1	0	0
1785376916986062	1	0	0
1785376916987063	0	1	0
1785376916988063	1	0	0
1785376916989063	1	0	0
1785376916990063	1	1	0
1785376916991063	1	0	0
1785376916992064	1	0	0
1785376916993063	1	0	0
1785376916994063	1	1	0
1785376916996063	1	0	0
1785376916997063	1	0	0
1785376916998064	1	1	0
1785376916999062	1	0	0
1785376917000062	1	0	0
1785376917001063	1	0	0
1785376917002063	1	1	0
1785376917003064	1	0	0
1785376917004063	1	0	0
1785376917005064	2	1	0
1785376917006064	1	0	0
1785376917007063	2	0	0
1785376917008062	1	0	0
1785376917009063	1	1	0
1785376917010063	1	0	0
1785376917011062	1	0	0
1785376917012064	2	0	0
1785376917013064	1	1	0
1785376917014063	1	0	0
1785376917015064	1	0	0
1785376917016063	2	0	0
1785376917017064	1	1	0
1785376917018063	1	0	0
1785376917019063	2	0	0
1785376917020064	1	0	0
1785376917021063	1	0	0
1785376917022064	2	1	0
1785376917023063	1	0	0
1785376917024064	2	0	0
1785376917025063	1	0	0
1785376917026065	1	1	0
1785376917027063	3	0	0
1785376917028064	1	0	0
1785376917029063	1	0	0
1785376917030064	2	0	0
1785376917031063	1	1	0
1785376917032064	1	0	0
1785376917033063	1	0	0
1785376917034064	2	0	0
1785376917035064	1	0	0
1785376917036063	1	0	0
1785376917037063	1	1	0
1785376917038063	2	0	0
1785376917039064	1	0	0
1785376917040064	1	0	0
1785376917041064	1	0	0
1785376917042063	1	0	0
1785376917043064	1	1	0
1785376917044063	1	0	0
1785376917045064	1	0	0
1785376917046063	1	0	0
1785376917047063	1	0	0
1785376917048064	1	0	0
1785376917049063	1	0	0
1785376917050063	1	0	0
1785376917051063	1	0	0
1785376917052063	1	0	0
1785376917053063	1	0	0
1785376917055065	2	0	0
1785376917056064	1	0	0
1785376917057063	1	0	0
1785376917058064	1	0	0
1785376917059064	1	0	0
1785376917060063	1	0	0
1785376917062064	1	0	0
1785376917063063	1	0	0
1785376917064065	1	0	0
1785376917065064	1	0	0
1785376917067064	2	0	0
1785376917069064	1	0	0
1785376917070065	1	0	0
1785376917071064	1	0	0
1785376917072064	1	0	0
1785376917073063	1	0	0
1785376917074063	1	0	0
1785376917075063	1	0	0
1785376917076065	0	-1	0
1785376917077064	2	0	0
1785376917078066	1	0	0
1785376917079064	1	0	0
1785376917080064	1	0	0
1785376917081065	1	-1	0
1785376917082064	1	0	0
1785376917083064	1	0	0
1785376917084064	1	0	0
1785376917085063	1	0	0
1785376917086063	2	0	0
1785376917087065	1	-1	0
1785376917088064	1	0	0
1785376917089063	1	0	0
1785376917090064	1	0	0
1785376917091063	1	0	0
1785376917092064	1	-1	0
1785376917093064	1	0	0
1785376917094064	1	0	0
1785376917095064	1	0	0
1785376917096063	1	0	0
1785376917097063	1	0	0
1785376917098064	1	0	0
1785376917099065	1	0	0
1785376917100064	1	-1	0
1785376917101064	1	0	0
1785376917102064	1	0	0
1785376917104064	1	0	0
1785376917105064	1	-1	0
1785376917106065	1	0	0
