# stabmouse-recording v1
# device	Mad Catz Global Mad Catz R.A.T. 8+ADV
# dpi	1600
# t_us	dx	dy	down
1785376789891699	1	0	0
1785376789895699	0	1	0
1785376789900699	0	1	0
1785376789905699	0	1	0
1785376789910699	0	1	0
1785376789912698	1	0	0
1785376789915699	0	1	0
1785376789921700	0	1	0
1785376789927700	0	1	0
1785376789931699	1	0	0
1785376789933699	0	1	0
1785376789941699	0	1	0
1785376789949700	1	1	0
1785376789958700	0	1	0
1785376789962700	1	0	0
1785376789966700	0	1	0
1785376789972699	1	0	0
1785376789974700	0	1	0
1785376789980700	1	0	0
1785376789982701	0	1	0
1785376789985700	1	0	0
1785376789992701	2	1	0
1785376789998700	1	0	0
1785376790003700	0	1	0
1785376790004700	1	0	0
1785376790010701	1	0	0
1785376790019700	1	0	0
1785376790027700	0	1	0
1785376790030700	1	0	0
1785376790041701	1	0	0
1785376790049701	1	0	0
1785376790060701	1	0	0
1785376790072700	1	0	0
1785376790082702	1	-1	0
1785376790091702	1	-1	0
1785376790098704	1	-1	0
1785376790106702	1	-1	0
1785376790113701	0	-1	0
1785376790121702	0	-1	0
1785376790124701	1	0	0
1785376790128702	0	-1	0
1785376790134702	0	-1	0
1785376790140702	0	-1	0
1785376790142701	1	0	0
1785376790144701	0	-1	0
1785376790149703	0	-1	0
1785376790153701	0	-1	0
1785376790154701	1	0	0
1785376790156702	0	-1	0
1785376790160702	0	-1	0
1785376790163702	1	-1	0
1785376790166702	0	-1	0
1785376790169702	0	-1	0
1785376790172702	0	-1	0
1785376790174701	1	0	0
1785376790175700	0	-2	0
1785376790179703	0	-1	0
1785376790182703	0	-1	0
1785376790185702	0	-1	0
1785376790189703	0	-1	0
1785376790192702	0	-1	0
1785376790196702	0	-1	0
1785376790199703	0	-1	0
1785376790203702	0	-1	0
1785376790206703	0	-1	0
1785376790210702	0	-1	0
1785376790214703	0	-1	0
1785376790217703	0	-1	0
1785376790221703	0	-1	0
1785376790225702	0	-1	0
1785376790228703	0	-1	0
1785376790232703	0	-1	0
