# stabmouse-recording v1
# device	Mad Catz Global Mad Catz R.A.T. 8+ADV
# dpi	1600
# t_us	dx	dy	down
1785376819468009	1	-1	1
1785376819469009	0	-1	1
1785376819470008	1	-1	1
1785376819471008	2	-1	1
1785376819472009	0	-1	1
1785376819473009	1	-1	1
1785376819474009	1	-1	1
1785376819475009	1	-1	1
1785376819476009	0	-1	1
1785376819477009	1	-1	1
1785376819478010	1	-1	1
1785376819479009	0	-1	1
1785376819480009	1	-1	1
1785376819481009	1	-1	1
1785376819482008	0	-2	1
1785376819483009	1	-2	1
1785376819484010	1	-1	1
1785376819485009	0	-1	1
1785376819486009	1	-1	1
1785376819487008	1	-1	1
1785376819488009	0	-1	1
1785376819489011	1	-1	1
1785376819490009	1	-1	1
1785376819491009	0	-1	1
1785376819492009	1	-1	1
1785376819493009	0	-1	1
1785376819494009	1	-2	1
1785376819495009	1	0	1
1785376819496009	0	-2	1
1785376819497009	1	-1	1
1785376819498009	0	-1	1
1785376819499010	1	-1	1
1785376819500010	0	-1	1
1785376819501009	1	-1	1
1785376819502010	0	-1	1
1785376819503009	1	-1	1
1785376819504009	0	-1	1
1785376819505009	1	-1	1
1785376819506009	0	-1	1
1785376819507009	1	-1	1
1785376819508009	0	-1	1
1785376819509009	1	-1	1
1785376819510009	0	-1	1
1785376819511009	1	-2	1
1785376819512009	0	-1	1
1785376819513009	1	-1	1
1785376819514009	0	-1	1
1785376819515009	0	-1	1
1785376819516009	1	-1	1
1785376819517009	0	-1	1
1785376819518009	0	-1	1
1785376819519009	1	-1	1
1785376819520010	0	-1	1
1785376819521009	0	-1	1
1785376819522009	1	-1	1
1785376819523009	0	-1	1
1785376819524010	0	-1	1
1785376819525009	2	-1	1
1785376819526009	0	-1	1
1785376819527014	0	-1	1
1785376819528012	1	-1	1
1785376819529011	0	-1	1
1785376819530009	0	-2	1
1785376819532010	1	-1	1
1785376819533009	0	-1	1
1785376819534009	0	-1	1
1785376819535009	0	-1	1
1785376819536009	0	-1	1
1785376819537009	1	-1	1
1785376819538009	0	-2	1
1785376819539012	0	-1	1
1785376819540010	0	-2	1
1785376819542009	0	-1	1
1785376819543010	0	-1	1
1785376819544010	1	-2	1
1785376819546011	0	-1	1
1785376819547010	0	-2	1
1785376819549010	0	-2	1
1785376819550011	0	-1	1
1785376819551010	0	-1	1
1785376819553010	0	-1	1
1785376819554010	0	-1	1
1785376819555010	1	-1	1
1785376819556009	0	-1	1
1785376819557010	0	-1	1
1785376819558009	0	-1	1
1785376819559010	0	-1	1
1785376819560010	0	-1	1
1785376819561010	0	-1	1
1785376819562009	0	-1	1
1785376819563010	0	-1	1
1785376819564009	0	-1	1
1785376819565010	0	-1	1
1785376819566010	0	-1	1
1785376819568011	0	-2	1
1785376819570011	0	-1	1
1785376819571009	0	-2	1
1785376819572010	0	-1	1
1785376819573010	0	-1	1
1785376819574009	0	-1	1
1785376819575010	0	-1	1
1785376819577010	0	-1	1
1785376819578010	0	-1	1
1785376819579010	0	-1	1
1785376819580010	0	-1	1
1785376819581010	0	-1	1
1785376819582010	0	-1	1
1785376819583009	0	-1	1
1785376819585011	0	-1	1
1785376819586010	0	-1	1
1785376819587010	0	-1	1
1785376819588010	0	-1	1
1785376819589012	0	-1	1
1785376819590010	0	-1	1
1785376819592011	0	-1	1
1785376819593010	0	-1	1
1785376819594010	0	-1	1
1785376819595010	0	-1	1
1785376819596011	-1	-1	1
1785376819598010	0	-1	1
1785376819599010	0	-1	1
1785376819600010	0	-1	1
1785376819601010	0	-1	1
1785376819602010	0	-1	1
1785376819603010	-1	-1	1
1785376819604010	0	-2	1
1785376819606011	0	-1	1
1785376819607011	-1	-1	1
1785376819608010	0	-1	1
1785376819609010	0	-1	1
1785376819610010	0	-1	1
1785376819611012	-1	-1	1
1785376819613010	0	-1	1
1785376819614010	-2	-1	1
1785376819615010	0	-1	1
1785376819616010	0	-1	1
1785376819618011	-1	-1	1
1785376819619010	0	-1	1
1785376819620011	-1	-1	1
1785376819621010	0	-1	1
1785376819622010	0	-1	1
1785376819623010	-1	0	1
1785376819624010	0	-1	1
1785376819625011	0	-1	1
1785376819626010	-1	-1	1
1785376819628012	-1	-1	1
1785376819629011	0	-1	1
1785376819630011	0	-1	1
1785376819631010	-1	0	1
1785376819632010	0	-1	1
1785376819633011	-1	-1	1
1785376819634010	0	-1	1
1785376819635010	-1	0	1
1785376819636010	0	-1	1
1785376819637010	-1	-1	1
1785376819639011	-1	-1	1
1785376819640010	0	-1	1
1785376819641010	-1	-1	1
1785376819643011	-1	-2	1
1785376819644011	-1	-1	1
1785376819645010	0	-1	1
1785376819646012	-1	-1	1
1785376819648011	-1	-1	1
1785376819649011	-1	-1	1
1785376819651012	-1	-1	1
1785376819652011	-1	-1	1
1785376819653010	0	-1	1
1785376819654011	-1	-1	1
1785376819655011	-1	0	1
1785376819656011	0	-1	1
1785376819657012	-1	-1	1
1785376819658010	-1	-1	1
1785376819659011	-1	0	1
1785376819660012	0	-1	1
1785376819661011	-1	-1	1
1785376819662011	-1	-1	1
1785376819663011	-1	-1	1
1785376819665011	-1	-1	1
1785376819666012	-1	-1	1
1785376819667011	-2	-1	1
1785376819668011	-1	0	1
1785376819669011	0	-1	1
1785376819670011	-1	-1	1
1785376819671011	-1	-1	1
1785376819672010	-1	0	1
1785376819673011	-1	-1	1
1785376819674011	0	-1	1
1785376819675011	-1	0	1
1785376819676011	-1	-1	1
1785376819677011	-1	-1	1
1785376819678011	-1	0	1
1785376819679011	0	-1	1
