# stabmouse-recording v1
# device	Mad Catz Global Mad Catz R.A.T. 8+ADV
# dpi	1600
# t_us	dx	dy	down
1785376830601126	0	-1	1
1785376830603127	0	-1	1
1785376830604127	0	-1	1
1785376830606126	1	0	1
1785376830607127	0	-1	1
1785376830608127	0	-1	1
1785376830611127	0	-1	1
1785376830612127	1	-1	1
1785376830614127	0	-1	1
1785376830616127	0	-1	1
1785376830617127	0	-1	1
1785376830619127	1	0	1
1785376830620126	0	-1	1
1785376830621127	0	-1	1
1785376830624129	0	-1	1
1785376830626127	0	-1	1
1785376830627126	1	0	1
1785376830628128	0	-1	1
1785376830629127	0	-1	1
1785376830632128	0	-1	1
1785376830633127	1	0	1
1785376830634127	0	-1	1
1785376830636127	0	-1	1
1785376830637127	0	-1	1
1785376830639127	1	0	1
1785376830640127	0	-1	1
1785376830641127	0	-1	1
1785376830643128	0	-1	1
1785376830644127	1	-1	1
1785376830647128	0	-1	1
1785376830648127	0	-2	1
1785376830650128	1	-1	1
1785376830652127	0	-1	1
1785376830653127	0	-1	1
1785376830655127	1	0	1
1785376830656127	0	-1	1
1785376830657127	0	-1	1
1785376830658127	1	-1	1
1785376830660128	0	-1	1
1785376830662128	0	-1	1
1785376830663128	1	0	1
1785376830664128	0	-1	1
1785376830665127	0	-1	1
1785376830667127	1	0	1
1785376830668127	0	-1	1
1785376830669128	0	-1	1
1785376830670127	1	0	1
1785376830671127	0	-1	1
1785376830672127	1	-1	1
1785376830675129	0	-1	1
1785376830676128	0	-1	1
1785376830677126	1	0	1
1785376830678127	0	-1	1
1785376830679127	1	-1	1
1785376830682128	0	-1	1
1785376830683126	1	-1	1
1785376830684127	0	-1	1
1785376830686128	1	0	1
1785376830687128	0	-1	1
1785376830688127	1	-1	1
1785376830689127	0	-1	1
1785376830691127	1	0	1
1785376830692128	0	-1	1
1785376830693127	1	-1	1
1785376830696128	0	-1	1
1785376830697128	1	0	1
1785376830698128	0	-1	1
1785376830699127	1	-2	1
1785376830700128	0	-1	1
1785376830701127	1	0	1
1785376830703128	0	-1	1
1785376830704128	1	-1	1
1785376830707129	0	-1	1
1785376830708129	1	0	1
1785376830709128	0	-1	1
1785376830710128	1	0	1
1785376830711128	0	-1	1
1785376830712127	1	0	1
1785376830713128	0	-1	1
1785376830714128	2	0	1
1785376830715129	0	-1	1
1785376830716127	1	0	1
1785376830717128	0	-1	1
1785376830719128	1	-1	1
1785376830720128	1	-1	1
1785376830722128	1	-1	1
1785376830724129	1	-1	1
1785376830727129	0	-1	1
1785376830728127	1	0	1
1785376830730129	1	-1	1
1785376830732128	1	-1	1
1785376830734128	1	0	1
1785376830735128	0	-1	1
1785376830736128	1	0	1
1785376830737128	1	-1	1
1785376830740128	1	-1	1
1785376830743129	1	-1	1
1785376830744127	1	0	1
1785376830746129	0	-1	1
1785376830747128	1	0	1
1785376830749129	1	-1	1
1785376830751128	1	0	1
1785376830752128	0	-1	1
1785376830754128	1	0	1
1785376830756128	1	-1	1
1785376830757128	1	0	1
1785376830759129	0	-1	1
1785376830760128	1	0	1
1785376830762128	1	-1	1
1785376830764131	1	0	1
1785376830765128	0	-1	1
1785376830767129	1	0	1
1785376830768128	1	-1	1
1785376830770129	1	0	1
1785376830772129	0	-1	1
1785376830773128	1	0	1
1785376830775128	1	0	1
1785376830776129	0	-2	1
1785376830777128	2	0	1
1785376830778128	0	-1	1
1785376830780129	1	0	1
1785376830782129	1	-1	1
1785376830783128	1	0	1
1785376830784129	1	-1	1
1785376830786129	1	-1	1
1785376830788129	1	0	1
1785376830790130	0	-1	1
1785376830791130	1	0	1
1785376830792128	1	-1	1
1785376830795129	1	-1	1
1785376830796128	1	0	1
1785376830798130	0	-1	1
1785376830799128	1	0	1
1785376830800128	1	-1	1
1785376830802129	1	0	1
1785376830803129	0	-1	1
1785376830804129	1	0	1
1785376830805128	0	-1	1
1785376830806128	1	0	1
1785376830808132	1	-1	1
1785376830809129	1	0	1
1785376830810129	0	-1	1
1785376830811129	1	0	1
1785376830812129	1	-1	1
1785376830814130	1	0	1
1785376830815129	0	-1	1
1785376830816128	1	0	1
1785376830817129	1	-1	1
1785376830818129	1	-1	1
1785376830820130	1	-1	1
1785376830823129	1	0	1
1785376830824130	1	-1	1
1785376830826129	1	-1	1
1785376830827129	1	0	1
1785376830828129	0	-1	1
1785376830829129	1	0	1
1785376830830129	2	-1	1
1785376830832129	1	0	1
1785376830833128	0	-1	1
1785376830834129	1	0	1
1785376830835129	1	-1	1
1785376830836128	1	-1	1
1785376830838129	1	0	1
1785376830839129	0	-1	1
1785376830840129	1	0	1
1785376830841128	1	0	1
1785376830842129	0	-1	1
1785376830843129	1	0	1
1785376830844129	1	-1	1
1785376830846131	1	-2	1
1785376830847130	1	0	1
1785376830848129	1	-1	1
1785376830849129	1	0	1
